toilet_id,borehole_id,distance_m
28773,govbh_028,91.19928756228636
28773,govbh_029,84.2332195450299
28774,govbh_028,32.28475279320568
28774,govbh_029,25.755395568264696
28775,govbh_028,81.06027853702028
28775,govbh_029,73.66455355453938
28776,govbh_028,90.31439430897196
28776,govbh_029,88.22146626866838
28856,govbh_028,65.3489519128207
28856,govbh_029,62.14075335197295
28867,govbh_028,96.49797631146552
7453,govbh_031,99.62279670437641
7490,govbh_031,97.95083394758787
7491,govbh_031,85.58624065247298
7496,govbh_031,86.62625277534683
7497,govbh_031,85.31175922057561
7559,govbh_031,98.06662382827453
7495,govbh_031,30.120933213113396
7419,govbh_031,50.89706869732308
16854,govbh_033,69.8691815267532
16927,govbh_033,70.61956666072712
16839,govbh_033,81.80270826309065
16905,govbh_033,58.457480741383975
16831,govbh_033,56.039393275729346
16841,govbh_033,69.13775836107128
16930,govbh_033,98.38804110779081
16875,govbh_033,55.26800303778468
16838,govbh_033,74.84390375300231
16874,govbh_033,48.284341646860966
16822,govbh_033,20.20135571100852
16833,govbh_033,18.319604938536493
16869,govbh_033,60.97790342678616
16871,govbh_033,82.07129538061423
16870,govbh_033,82.55463707216586
16931,govbh_033,24.177138524409298
16832,govbh_033,23.186500242964133
16820,govbh_033,25.69967920756404
19018,govbh_033,78.10114335999522
16855,govbh_033,89.90069388510703
16829,govbh_033,98.49660168171788
16819,govbh_033,84.1942681556593
16818,govbh_033,76.47250068734836
16906,govbh_033,69.69013134663899
16928,govbh_033,81.198284765885
16932,govbh_033,26.60647709836665
26235,govbh_026,98.5570469909261
26246,govbh_026,93.73051319943824
26247,govbh_026,73.31924622776567
26248,govbh_026,77.19958482052641
26249,govbh_026,84.8844286910818
26250,govbh_026,87.21253212366456
26272,govbh_026,83.92862190828987
26275,govbh_026,81.28976251640876
26276,govbh_026,58.902805383224035
26277,govbh_026,93.78154986588028
26290,govbh_026,94.94686632363482
26907,govbh_026,97.4539603677741
26903,govbh_026,83.06986319082343
26906,govbh_026,77.51886008493399
26909,govbh_026,48.34696125608156
22534,govbh_044,81.5104106878915
22535,govbh_044,84.52139533923135
22582,govbh_044,99.437427532563
22533,govbh_044,92.16421844370089
24736,govbh_025,77.96225341301681
910,govbh_027,52.37781088257489
913,govbh_027,77.39789187934683
822,govbh_027,59.24987959492655
821,govbh_027,59.24987959492655
820,govbh_027,59.24987959492655
963,govbh_027,64.22912804282727
966,govbh_027,64.22912804282727
967,govbh_027,64.22912804282727
969,govbh_027,64.22912804282727
997,govbh_027,59.24987959492655
1001,govbh_027,59.24987959492655
1009,govbh_027,59.24987959492655
1010,govbh_027,59.24987959492655
1013,govbh_027,59.24987959492655
1017,govbh_027,59.24987959492655
1018,govbh_027,59.24987959492655
1019,govbh_027,59.24987959492655
7817,govbh_031,90.74301063924086
7818,govbh_031,73.53979663130794
7820,govbh_031,90.21853834414968
7884,govbh_031,72.68357659957132
8121,govbh_032,79.52927082189393
8131,govbh_032,88.35366930262435
8140,govbh_032,92.53263116242024
8081,govbh_032,76.27988042057333
8154,govbh_032,80.64942472805184
8146,govbh_032,76.48716162050536
8151,govbh_032,64.65468613871367
8153,govbh_032,55.236467894265296
8145,govbh_032,62.710973275970325
8032,govbh_032,99.34097617053519
8152,govbh_032,34.64317939677779
8120,govbh_032,97.5807801746806
8155,govbh_032,50.59185670855988
8157,govbh_032,82.40236428628988
8158,govbh_032,72.52218411229812
8045,govbh_032,97.77432896859914
8156,govbh_032,92.70007956695054
8043,govbh_032,77.16090727479444
8261,govbh_031,57.046858992581285
8262,govbh_031,50.54536491303524
8260,govbh_031,40.269466150044025
8257,govbh_031,17.911733370493867
8259,govbh_031,49.33224628267251
8258,govbh_031,22.142817413906872
8256,govbh_031,31.399365803238375
7456,govbh_031,26.367552120996688
8255,govbh_031,55.63885127329644
7498,govbh_031,59.98317989861066
7819,govbh_031,50.78191976871604
7420,govbh_031,59.39379483194794
8263,govbh_031,53.72501685588235
8264,govbh_031,71.71457632072102
8265,govbh_031,58.197690629804484
8266,govbh_031,53.65458728810561
14832,govbh_030,53.08209139288621
14832,govbh_037,53.08209139288621
14833,govbh_030,53.08209139288621
14833,govbh_037,53.08209139288621
14834,govbh_030,53.08209139288621
14834,govbh_037,53.08209139288621
46181,govbh_047,40.196225385340504
46184,govbh_047,16.673015004371525
46186,govbh_047,38.79175973138322
46239,govbh_047,47.343990962969116
46356,govbh_047,77.24630671220119
46180,govbh_047,97.62218055821567
46214,govbh_047,77.82790065325973
46182,govbh_047,77.97131499843489
46238,govbh_047,67.42328755916472
46240,govbh_047,62.80824561972887
46241,govbh_047,82.94328967676135
46242,govbh_047,88.3901965078276
46331,govbh_047,81.56424982606362
46332,govbh_047,79.91723885341645
46348,govbh_047,91.100407941184
46349,govbh_047,81.44855197650065
